320 240
0.17505 0 0
0.219487 0 0
0.144746 0 0
0.150349 0 0
0.1846 0 0
0.183236 0 0
0.175954 0 0
0.188299 0 0
0.179145 0 0
0.170545 0 0
0.175003 0 0
0.220924 0 0
0.16357 0 0
0.197604 0.0186862 0.0175189
0.16259 0.0625024 0.055337
0.193562 0.0941013 0.0852839
0.148747 0.0800092 0.0661558
0.171523 0.0880241 0.0799035
0.189995 0.105069 0.0956634
0.168281 0.0855673 0.0788271
0.187658 0.120778 0.102743
0.180895 0.102035 0.0893846
0.199563 0.116277 0.101037
0.1837 0.0948714 0.084845
0.191281 0.110953 0.0994807
0.204036 0.129796 0.119271
0.206998 0.104633 0.0947294
0.172799 0.10461 0.0926914
0.18523 0.105542 0.0907953
0.194949 0.112633 0.102166
0.201841 0.113584 0.0997781
0.217776 0.134452 0.118079
0.194336 0.10804 0.0984091
0.20039 0.111368 0.0977194
0.204074 0.12886 0.114055
0.187761 0.120584 0.105578
0.218956 0.135042 0.123321
0.201343 0.135281 0.121642
0.219577 0.123262 0.109993
0.201918 0.117295 0.100131
0.216623 0.120424 0.114788
0.200811 0.110451 0.0979874
0.228219 0.109205 0.101294
0.202559 0.106124 0.0949674
0.185447 0.113428 0.10093
0.202903 0.13346 0.12171
0.192319 0.109876 0.0998725
0.213412 0.13749 0.124085
0.217186 0.125567 0.116905
0.164261 0.102226 0.0820041
0.21893 0.149153 0.131616
0.236215 0.13861 0.123293
0.216303 0.119417 0.106836
0.224489 0.141073 0.125357
0.201733 0.114345 0.102977
0.206649 0.133126 0.118959
0.222435 0.138363 0.122468
0.218731 0.120863 0.110947
0.235967 0.152602 0.137375
0.187318 0.1174 0.103042
0.191385 0.116832 0.103468
0.243068 0.135953 0.12468
0.208933 0.118281 0.107668
0.197259 0.156825 0.131503
0.214623 0.140302 0.12364
0.215459 0.142971 0.127068
0.231331 0.156073 0.140676
0.226377 0.140962 0.123511
0.237472 0.172039 0.154266
0.201114 0.119761 0.106293
0.23509 0.160644 0.144523
0.21405 0.156757 0.135897
0.233653 0.140526 0.126189
0.234158 0.16263 0.137668
0.227815 0.157219 0.142324
0.218174 0.159223 0.133874
0.223828 0.159245 0.141556
0.217683 0.141146 0.125051
0.224948 0.161595 0.136455
0.219392 0.157079 0.133434
0.222205 0.164191 0.142171
0.231085 0.161562 0.142065
0.244199 0.183161 0.158383
0.236738 0.139879 0.124869
0.248173 0.155937 0.139868
0.19772 0.125525 0.109234
0.222567 0.150438 0.134277
0.265386 0.166158 0.153423
0.205991 0.143884 0.124904
0.237862 0.156387 0.143956
0.21263 0.148728 0.126387
0.204105 0.138354 0.122886
0.263096 0.169935 0.152817
0.220251 0.140917 0.123606
0.220339 0.171145 0.147757
0.238538 0.180668 0.158328
0.236943 0.155588 0.13762
0.220571 0.154703 0.133628
0.257933 0.16518 0.155955
0.20299 0.148433 0.126972
0.213124 0.165363 0.135305
0.242652 0.165323 0.141887
0.228344 0.170959 0.149083
0.260253 0.195113 0.172311
0.226163 0.167127 0.14722
0.220991 0.157796 0.137434
0.238874 0.184872 0.160048
0.237399 0.200999 0.173347
0.217554 0.155715 0.134313
0.227965 0.165345 0.144326
0.236169 0.169024 0.148002
0.236393 0.188463 0.164452
0.237955 0.16733 0.143641
0.229718 0.172701 0.149135
0.206342 0.17022 0.145693
0.249619 0.186356 0.16225
0.238337 0.187354 0.164172
0.25382 0.168053 0.147477
0.222046 0.165425 0.146449
0.23309 0.192607 0.167568
0.237402 0.181062 0.152658
0.230299 0.189994 0.159272
0.230388 0.162382 0.145385
0.218587 0.182578 0.155802
0.238153 0.199822 0.178997
0.236414 0.182297 0.163044
0.237383 0.21052 0.184961
0.250685 0.207832 0.180789
0.238396 0.20852 0.178003
0.235051 0.176345 0.153272
0.223855 0.211475 0.178947
0.222992 0.196996 0.171638
0.220889 0.185247 0.160726
0.227304 0.178103 0.14594
0.213198 0.180908 0.146122
0.240324 0.195404 0.16803
0.223764 0.187528 0.159088
0.1846 0.165425 0.134588
0.219693 0.187767 0.158913
0.21942 0.198784 0.169276
0.192616 0.156382 0.13579
0.250901 0.194591 0.169504
0.196522 0.18033 0.150482
0.219458 0.189651 0.160877
0.193153 0.176613 0.148214
0.203545 0.181002 0.154057
0.18009 0.165219 0.133531
0.215184 0.18796 0.156231
0.229934 0.199829 0.17524
0.199589 0.169522 0.137967
0.220275 0.193165 0.163268
0.168846 0.172544 0.133766
0.186408 0.162365 0.12829
0.216458 0.189093 0.16118
0.218764 0.198224 0.169771
0.173338 0.169273 0.136152
0.235054 0.194702 0.165713
0.192129 0.170352 0.136745
0.221842 0.200637 0.162015
0.190249 0.169467 0.13899
0.206628 0.188247 0.157929
0.226023 0.187817 0.15925
0.215114 0.19415 0.167067
0.178408 0.175807 0.139458
0.203652 0.196605 0.163992
0.193361 0.180376 0.144133
0.199098 0.209189 0.166205
0.19971 0.184513 0.15719
0.197436 0.187389 0.150406
0.210931 0.201095 0.162608
0.214907 0.208811 0.172247
0.213865 0.203908 0.167354
0.212206 0.199046 0.16321
0.234464 0.209961 0.181386
0.199435 0.197434 0.159882
0.207967 0.19648 0.168603
0.189008 0.183252 0.148884
0.170352 0.177034 0.138646
0.215064 0.22225 0.176701
0.178091 0.178099 0.142674
0.207302 0.215934 0.177014
0.182406 0.189446 0.146263
0.17929 0.179207 0.141985
0.195237 0.194277 0.158905
0.157914 0.160887 0.126897
0.201871 0.208209 0.165331
0.229344 0.209428 0.175075
0.196755 0.207007 0.16846
0.198671 0.194915 0.158547
0.214867 0.209026 0.172039
0.197938 0.200957 0.156309
0.19443 0.201916 0.15975
0.185828 0.187232 0.143975
0.176784 0.175086 0.13832
0.191922 0.195473 0.159235
0.17053 0.19883 0.150551
0.19815 0.211689 0.169017
0.219463 0.226919 0.186068
0.201046 0.191803 0.161417
0.183353 0.188247 0.147155
0.188209 0.187183 0.144797
0.231994 0.238689 0.192128
0.167961 0.198084 0.152252
0.20929 0.229076 0.181783
0.200481 0.209394 0.171414
0.195606 0.211463 0.162938
0.201301 0.209485 0.166034
0.186894 0.198374 0.153278
0.16673 0.191954 0.149496
0.17149 0.203496 0.151764
0.211475 0.224477 0.1865
0.186987 0.187954 0.148277
0.19942 0.189107 0.157848
0.194311 0.187495 0.149272
0.191088 0.214337 0.166039
0.201593 0.212375 0.168485
0.180013 0.209399 0.167814
0.196981 0.229301 0.181006
0.180388 0.205334 0.150334
0.192194 0.209546 0.168536
0.183079 0.209066 0.159766
0.164439 0.187852 0.145556
0.189177 0.202697 0.153988
0.165774 0.188429 0.142236
0.170357 0.208666 0.155302
0.161485 0.202104 0.151094
0.176682 0.218534 0.166336
0.20932 0.211352 0.170687
0.174054 0.194436 0.144902
0.1614 0.197049 0.151144
0.156418 0.201723 0.149112
0.152342 0.1821 0.129048
0.174125 0.201441 0.161292
0.149379 0.188212 0.14083
0.174387 0.220904 0.16444
0.1628 0.18378 0.13067
0.161388 0.177069 0.133763
0.184689 0.217395 0.161341
0.147939 0.192056 0.138286
0.15674 0.1975 0.152126
0.153396 0.174666 0.133856
0.16453 0.172965 0.131788
0.158384 0.19681 0.149721
0.142768 0.200745 0.144174
0.154305 0.183501 0.128466
0.133236 0.203791 0.137685
0.134303 0.180379 0.128314
0.152723 0.186961 0.134757
0.138003 0.184349 0.127624
0.153666 0.19216 0.151698
0.137341 0.189079 0.136748
0.158948 0.185653 0.141521
0.154944 0.199327 0.145187
0.161516 0.209194 0.15708
0.128032 0.173598 0.123217
0.141958 0.184211 0.13454
0.156491 0.205172 0.14626
0.139871 0.174552 0.12772
0.164934 0.200697 0.150301
0.150383 0.196084 0.145413
0.145269 0.20814 0.14433
0.130317 0.177156 0.124693
0.147933 0.182832 0.132375
0.167128 0.199948 0.15215
0.143704 0.17982 0.126573
0.127986 0.190956 0.124843
0.125159 0.183339 0.125711
0.131599 0.164957 0.12014
0.138557 0.201086 0.144729
0.128472 0.168108 0.1165
0.122888 0.154645 0.111635
0.145466 0.188608 0.132943
0.112463 0.173967 0.120425
0.137806 0.170083 0.117836
0.0985904 0.161054 0.103015
0.137594 0.178157 0.130571
0.120785 0.156963 0.110289
0.122435 0.181358 0.123868
0.127037 0.162277 0.111043
0.125554 0.193445 0.127114
0.108466 0.151409 0.100209
0.130084 0.154085 0.107993
0.115969 0.170403 0.12086
0.106147 0.145876 0.098036
0.119273 0.160177 0.11028
0.123305 0.15667 0.112928
0.117639 0.148045 0.107571
0.101874 0.147988 0.0997901
0.130577 0.173675 0.115076
0.105905 0.140678 0.0969327
0.133198 0.159431 0.116066
0.0933173 0.134258 0.0856892
0.0609394 0.148623 0.0765893
0.00797789 0.107943 0.0336357
0 0.127061 0.035037
0 0.115729 0.0329597
0 0.116369 0.0325312
0 0.123865 0.03394
0 0.121052 0.0327841
0 0.10148 0.0276449
0 0.115777 0.0324571
0 0.111815 0.0312903
0 0.134188 0.0378782
0 0.13399 0.0374476
0 0.135926 0.0393661
0 0.133928 0.0378983
0 0.108668 0.0279742
0 0.0974114 0.0274101
0 0.120241 0.0350509
0 0.117157 0.032646
0 0.110318 0.0312274
0 0.103356 0.0289766
0 0.124352 0.0340044
0 0.115424 0.0314277
0 0.0992639 0.0284558
0 0.126554 0.0355401
0 0.133342 0.0391511
0 0.12222 0.03576
0 0.119643 0.0331425
0 0.124241 0.0352686
0.200878 0 0
0.199105 0 0
0.212663 0 0
0.177614 0 0
0.198951 0 0
0.152966 0 0
0.19761 0 0
0.204335 0 0
0.174152 0 0
0.167945 0 0
0.164392 0 0
0.176279 0 0
0.182306 0 0
0.176683 0 0
0.177545 0.00298233 0.00209604
0.173372 0.0132231 0.010939
0.189011 0.0704289 0.063836
0.18913 0.0937074 0.0871057
0.175513 0.107969 0.0909974
0.177567 0.099713 0.087015
0.186826 0.115921 0.107266
0.20091 0.101123 0.0894852
0.17396 0.0885475 0.0755623
0.198317 0.130127 0.118023
0.215798 0.11898 0.108677
0.199138 0.102066 0.0909723
0.186261 0.113224 0.0971384
0.178802 0.103727 0.0824716
0.171588 0.111781 0.101063
0.198834 0.105567 0.0947241
0.19854 0.0923038 0.0819624
0.200241 0.109862 0.0913289
0.191006 0.111996 0.102832
0.215221 0.116774 0.107132
0.181011 0.094216 0.0827559
0.206259 0.115451 0.10591
0.193024 0.112946 0.0976773
0.211074 0.111743 0.101148
0.222114 0.124714 0.111197
0.186027 0.113935 0.0984783
0.193142 0.116637 0.104893
0.185409 0.114325 0.100671
0.211489 0.118135 0.104144
0.206944 0.0953387 0.0863626
0.211127 0.115905 0.103026
0.1989 0.122715 0.103415
0.197063 0.107258 0.0944762
0.199965 0.122574 0.106312
0.211552 0.14419 0.125399
0.20238 0.118301 0.101926
0.201088 0.13081 0.115507
0.20796 0.133552 0.116801
0.223581 0.13612 0.12451
0.215987 0.13075 0.111881
0.217224 0.124855 0.109202
0.210352 0.125956 0.114296
0.19996 0.148609 0.125675
0.229095 0.118521 0.108438
0.239664 0.134488 0.115463
0.216617 0.138112 0.121226
0.203158 0.129118 0.1072
0.237069 0.132531 0.118403
0.220633 0.130616 0.119833
0.213127 0.162587 0.140819
0.243738 0.148325 0.134696
0.21804 0.128049 0.114796
0.230007 0.145149 0.132033
0.219529 0.136089 0.111271
0.204138 0.143844 0.129266
0.229782 0.1304 0.114645
0.23845 0.138039 0.123994
0.231801 0.151764 0.13486
0.19545 0.147245 0.132029
0.232593 0.155866 0.136951
0.238057 0.149077 0.13067
0.232553 0.161653 0.142362
0.22941 0.15383 0.130473
0.234817 0.156487 0.139927
0.233586 0.137204 0.126039
0.2522 0.15204 0.13447
0.229122 0.171305 0.148143
0.228388 0.157359 0.132536
0.194616 0.118382 0.099954
0.258229 0.164162 0.148639
0.247562 0.165527 0.147056
0.243906 0.156306 0.139277
0.200651 0.137237 0.120271
0.242438 0.178209 0.156991
0.222099 0.154935 0.133883
0.229006 0.148015 0.12662
0.223788 0.147204 0.130731
0.221367 0.167825 0.14237
0.224266 0.135705 0.122237
0.207459 0.145205 0.123801
