320 240
62.438 0 0
0.400366 0 0
0.430178 0 0
0.471009 0 0
0.862329 0 0
0.371165 0 0
0.170797 0 0
62.8763 0 0
0.307177 0 0
0.600531 0 0
62.8755 0 0
0.257101 0 0
62.5446 0 0
0.287264 0.002809 0.002809
0.440886 0.281426 0.281426
0.126238 0.0295052 0.0295052
0.0606819 0.0320554 0.0320554
35.2909 35.1822 35.1822
0.060983 0.0286455 0.0286455
105.438 35.1694 35.1694
66.8532 0.136592 0.136592
0.222128 0.0633569 0.0633569
0.971257 0.106848 0.106848
0.27414 0.193948 0.193948
0.101334 0.101334 0.101334
0.277393 0.193525 0.193525
0.358712 0.264867 0.264867
0.161622 0.055874 0.055874
0.214478 0.168067 0.168067
35.2613 35.2066 35.2066
35.2096 0.11131 0.11131
35.2255 0.0653517 0.0653517
35.3912 35.3022 35.3022
0.0565698 0.0223855 0.0223855
0.280486 0.0659376 0.0659376
0.00383785 0.00359696 0.00359696
0.37681 0.208768 0.208768
0.141791 0.117826 0.117826
35.2137 35.1862 35.1862
35.5273 0.251008 0.251008
0.155384 0.149332 0.149332
35.3132 35.2371 35.2371
31.7362 0.0201326 0.0201326
0.0326811 0.0214773 0.0214773
0.22346 0.103163 0.103163
0.127128 0.0415724 0.0415724
0.190264 0.121594 0.121594
0.359093 0.332815 0.332815
0.278216 0.248496 0.248496
0.154542 0.136926 0.136926
0.406435 0.344628 0.344628
0.158334 0.140489 0.140489
35.2615 35.1912 35.1912
0.428048 0.27523 0.27523
0.226403 0.137671 0.137671
0.143779 0.125757 0.125757
0.229437 0.195498 0.195498
0.278646 11.7996 11.7996
0.294162 0.103697 0.103697
70.4646 70.3975 70.3975
0.0782223 0.0424076 0.0424076
0.30396 0.137064 0.137064
35.1696 0.111664 0.111664
35.26 0.161532 0.161532
35.2884 35.2105 35.2105
0.0850137 0.0840836 0.0840836
35.4253 35.3211 35.3211
0.280234 0.131352 0.131352
35.256 0.135181 0.135181
35.4206 35.2106 35.2106
0.19213 0.173064 0.173064
0.167554 0.0402254 0.0402254
0.419396 0.287377 0.287377
32.2363 0.345747 0.345747
35.1572 0.0256571 0.0256571
0.110902 0.110911 0.110911
35.2975 0.229227 0.229227
35.4912 0.348723 0.348723
35.3241 0.158991 0.158991
0.208927 0.142588 0.142588
0.151179 0.102268 0.102268
0.290019 0.13188 0.13188
35.1468 0.0587848 0.0587848
0.319792 0.318253 0.318253
0.167006 0.167961 0.167961
0.131789 0.109336 0.109336
105.714 35.2956 35.2956
0.185897 0.180848 0.180848
0.104352 0.126805 0.126805
35.7313 35.6547 35.6547
35.2685 35.2176 35.2176
0.0679279 0.0271557 0.0271557
70.195 0.0708699 0.0708699
70.3515 70.3411 70.3411
35.2525 0.0472931 0.0472931
35.3613 35.3363 35.3363
0.228379 0.231508 0.231508
0.22904 0.18573 0.18573
0.122522 0.118331 0.118331
35.2773 35.2104 35.2104
70.3299 82.014 82.014
0.27782 0.0914399 0.0914399
0.14195 0.172691 0.172691
70.2239 35.114 35.114
0.289462 0.206895 0.206895
35.3892 0.24871 0.24871
35.3296 35.322 35.322
0.215115 0.133264 0.133264
35.2116 35.1583 35.1583
0.229682 0.218828 0.218828
35.1756 0.0869778 0.0869778
35.2622 35.2206 35.2206
0.263747 0.251827 0.251827
0.652538 0.254688 0.254688
35.3017 35.3022 35.3022
35.2665 35.246 35.246
0.394476 0.345055 0.345055
35.1801 35.1534 35.1534
0.300161 0.318967 0.318967
0.222801 0.169534 0.169534
0.153024 0.123412 0.123412
35.3392 35.2906 35.2906
0.109031 0.107659 0.107659
35.2606 35.267 35.267
0.317647 0.355354 0.355354
35.3859 0.332671 0.332671
0.272437 0.241953 0.241953
70.1739 35.1267 35.1267
0.235465 0.138349 0.138349
0.138331 0.129614 0.129614
35.3929 0.262491 0.262491
35.3925 35.3278 35.3278
0.538287 0.351471 0.351471
0.15651 0.130381 0.130381
70.2529 0.073911 0.073911
35.5291 35.4783 35.4783
0.543819 0.53842 0.53842
0.2148 0.177484 0.177484
0.257766 0.177157 0.177157
0.109661 0.0918879 0.0918879
35.4376 0.336296 0.336296
0.286931 11.9519 11.9519
35.5977 4.35726 4.35726
0.298192 0.250799 0.250799
35.2876 35.2505 35.2505
0.141112 0.146839 0.146839
35.1914 35.2025 35.2025
0.0675798 0.0454744 0.0454744
35.2926 0.16509 0.16509
0.581089 4.41281 4.41281
0.166006 0.0591819 0.0591819
0.181565 0.194028 0.194028
35.1939 35.2128 35.2128
0.349683 0.286936 0.286936
0.492126 0.527768 0.527768
35.8278 35.838 35.838
0.250873 0.17867 0.17867
0.119696 0.116869 0.116869
35.3721 35.3028 35.3028
0.156241 0.154876 0.154876
0.254151 0.265436 0.265436
0.287154 0.217752 0.217752
70.3051 46.8835 46.8835
0.342451 0.344997 0.344997
0.491589 0.486746 0.486746
35.4176 35.4131 35.4131
35.2196 35.2082 35.2082
0.252933 0.276168 0.276168
35.253 35.1986 35.1986
0.199207 0.142808 0.142808
0.299196 0.11499 0.11499
35.7036 35.6916 35.6916
35.3127 0.190719 0.190719
0.279907 0.241233 0.241233
102.154 35.4409 35.4409
0.488413 0.47664 0.47664
0.380358 0.35598 0.35598
0.559358 0.292383 0.292383
0.250202 0.247711 0.247711
70.2287 70.2363 70.2363
35.4686 35.4825 35.4825
0.303211 0.22438 0.22438
0.100578 0.107202 0.107202
0.309914 11.9937 11.9937
35.2996 35.2862 35.2862
35.1594 35.168 35.168
35.3926 0.259507 0.259507
0.156905 11.8101 11.8101
0.87804 0.905267 0.905267
0.207324 0.167723 0.167723
0.521122 0.482686 0.482686
31.8255 31.7601 31.7601
35.1634 35.1706 35.1706
0.145231 0.153762 0.153762
35.3612 35.3536 35.3536
35.2456 0.213296 0.213296
0.277266 0.303795 0.303795
0.325154 0.264919 0.264919
70.2018 35.1538 35.1538
0.400736 0.395101 0.395101
0.503908 0.51206 0.51206
70.4148 70.4218 70.4218
0.0844337 0.10828 0.10828
0.0481165 0.0680437 0.0680437
35.153 0.0711494 0.0711494
0.0839525 0.0829006 0.0829006
35.2425 35.2549 35.2549
0.206085 11.8832 11.8832
0.0888674 0.10092 0.10092
0.582386 0.605485 0.605485
0.295292 0.211731 0.211731
35.1289 46.8216 46.8216
0.176591 11.8664 11.8664
35.2486 35.2282 35.2282
0.0749675 0.0793744 0.0793744
0.0936867 0.109987 0.109987
0.309721 0.330942 0.330942
0.464456 0.487798 0.487798
0.238032 0.263042 0.263042
0.139638 0.152028 0.152028
35.4003 47.1034 47.1034
35.2715 35.2958 35.2958
0.111765 0.084185 0.084185
35.2872 35.2848 35.2848
35.2551 35.2645 35.2645
35.3412 35.3366 35.3366
0.206349 0.218653 0.218653
35.2651 35.2706 35.2706
0.316272 12.0174 12.0174
35.3003 35.7067 35.7067
0.0941913 0.113581 0.113581
35.3393 0.305838 0.305838
35.3105 35.2747 35.2747
0.23992 0.247764 0.247764
35.3441 35.3225 35.3225
0.0217134 0.0238061 0.0238061
35.266 35.2849 35.2849
0.0304844 0.0625796 0.0625796
0.137209 0.181898 0.181898
0.198147 0.139496 0.139496
35.3497 0.346903 0.346903
0.424033 0.438845 0.438845
0.285162 0.309081 0.309081
0.252467 0.272248 0.272248
35.3257 35.2464 35.2464
0.041459 0.0727982 0.0727982
0.239202 0.207787 0.207787
0.428429 23.8025 23.8025
0.0668317 0.117422 0.117422
0.144029 0.176782 0.176782
0.20141 0.131775 0.131775
0.075052 0.0842641 0.0842641
0.16566 0.119932 0.119932
35.4331 35.4343 35.4343
35.2313 50.8103 50.8103
0.168673 10.7195 10.7195
0.199539 0.21853 0.21853
0.70973 0.726213 0.726213
35.256 0.232565 0.232565
0.122343 11.8205 11.8205
31.9943 0.343108 0.343108
0.39223 0.40267 0.40267
0.00831891 0.0421645 0.0421645
0.172699 0.185434 0.185434
35.4341 35.3869 35.3869
0.114495 0.160742 0.160742
35.1356 35.1462 35.1462
0.126436 4.0819 4.0819
0.0468995 0.0555405 0.0555405
66.7883 66.8016 66.8016
35.254 35.2571 35.2571
0.187564 0.116069 0.116069
0.170382 0.126904 0.126904
0.276477 0.270871 0.270871
0.162647 0.217434 0.217434
35.1205 46.822 46.822
0.122592 0.11682 0.11682
0.274481 0.16169 0.16169
0.156386 0.159284 0.159284
0.11486 0.155836 0.155836
0.034161 0.0607334 0.0607334
0.271743 0.306138 0.306138
0.043363 0.0452018 0.0452018
31.7171 31.773 31.773
0.206529 0.177147 0.177147
0.103116 4.00943 4.00943
0.0748077 0.0896366 0.0896366
0.131434 0.0943735 0.0943735
0.135567 0.174166 0.174166
35.233 0.180267 0.180267
0.107315 0.0972163 0.0972163
0.00459375 0.0567233 0.0567233
0.070229 4.04864 4.04864
0 0.0591277 0.0591277
0 0.0795159 0.0795159
0 0.0248993 0.0248993
0 0.0128556 0.0128556
0 0.0386931 0.0386931
0 11.7389 11.7389
0 0.0576844 0.0576844
0 0.144456 0.144456
0 0.0640536 0.0640536
0 0.025333 0.025333
0 11.726 11.726
0 3.98718 3.98718
0 11.8125 11.8125
0 0.0130711 0.0130711
0 0.0752389 0.0752389
0 11.7039 11.7039
0 0.0176823 0.0176823
0 0.0479998 0.0479998
0 11.7183 11.7183
0 0.0485231 0.0485231
0 0.0058118 0.0058118
0 0.0443226 0.0443226
0 0.0449147 0.0449147
0 0.041893 0.041893
0 11.7466 11.7466
0 0.21766 0.21766
0 0.0349417 0.0349417
0.177253 0 0
0.0260997 0 0
0.566537 0 0
0.174414 0 0
62.5418 0 0
0.394312 0 0
62.4907 0 0
62.6171 0 0
0.680059 0 0
0.28393 0 0
0.414312 0 0
0.3554 0 0
0.346651 0 0
0.183959 0 0
0.4757 0.0429766 0.0429766
35.332 0.0146445 0.0146445
0.159611 0.0489521 0.0489521
35.2617 35.2069 35.2069
0.306693 0.22132 0.22132
0.27915 0.13933 0.13933
0.303974 0.128579 0.128579
0.210986 0.132172 0.132172
35.162 0.0590518 0.0590518
0.0985763 0.0286277 0.0286277
0.0757345 0.0563421 0.0563421
35.2019 35.1519 35.1519
35.2505 35.2387 35.2387
0.221162 0.117575 0.117575
0.207314 0.132323 0.132323
35.1548 0.0832663 0.0832663
0.641498 0.023911 0.023911
35.243 0.0323584 0.0323584
0.221297 0.161926 0.161926
0.230367 0.156646 0.156646
0.407344 0.405875 0.405875
35.3936 35.2181 35.2181
0.0857733 0.0136764 0.0136764
0.206983 0.0270461 0.0270461
31.7232 31.6467 31.6467
0.289757 0.16843 0.16843
0.23059 0.141206 0.141206
70.3463 70.3009 70.3009
105.383 70.2468 70.2468
0.236355 0.142413 0.142413
35.3387 0.134633 0.134633
0.157701 0.0526336 0.0526336
35.3271 35.288 35.288
0.177583 0.178359 0.178359
0.41694 0.33966 0.33966
0.278284 0.14025 0.14025
0.369721 0.224407 0.224407
0.183896 0.0840073 0.0840073
0.192118 0.152983 0.152983
0.160246 0.120036 0.120036
0.0492124 0.0495911 0.0495911
0.311017 0.138888 0.138888
0.101838 0.099952 0.099952
31.898 31.7259 31.7259
35.4018 0.246346 0.246346
0.178303 0.152945 0.152945
0.449587 0.244585 0.244585
35.2011 35.1802 35.1802
0.197917 0.196893 0.196893
35.3359 35.2293 35.2293
35.2226 35.1437 35.1437
0.51173 0.283829 0.283829
0.333023 0.3255 0.3255
0.32708 0.290838 0.290838
0.0216864 0.0178917 0.0178917
0.248189 0.0576409 0.0576409
0.308301 0.181154 0.181154
35.3464 35.2326 35.2326
0.208658 0.13898 0.13898
0.328256 0.161783 0.161783
0.317927 0.288093 0.288093
0.296518 0.178843 0.178843
0.247178 0.112631 0.112631
0.161147 0.201448 0.201448
0.223184 0.130738 0.130738
35.259 35.2239 35.2239
0.160506 0.155909 0.155909
35.2886 35.2874 35.2874
0.228215 0.161448 0.161448
0.334047 12.0155 12.0155
35.227 23.4975 23.4975
35.5683 35.462 35.462
35.2321 0.13869 0.13869
35.3579 47.0449 47.0449
0.344659 0.199267 0.199267
31.8258 31.7996 31.7996
0.16416 0.169517 0.169517
